Motifs	Average log2FC	Adjusted p-value	Cluster
NR1I2	0.385651924	1	Other expanded
TP73	0.386728759	2.95281E-07	Other expanded
Stat2	0.386844277	1.74882E-26	Other expanded
HOXD10	0.386857864	9.57405E-06	Not expanded
TFAP2A	0.38786098	0.018803043	C3
MYCN	0.387925955	0.179057428	C2
HOXD10	0.388099564	5.03924E-05	Other expanded
Hmx1	0.388205837	2.73582E-09	C1
HOXC8	0.388606942	3.39777E-14	C1
KLF16	0.388893241	1	C4
CREB3	0.389169162	0.228365108	C5
GFI1	0.389834207	0.000526448	Other expanded
ESRRB	0.390557157	1	C5
TBX2	0.390986247	0.000618078	C5
HIF1A	0.393454131	1	C4
ELF2	0.394853635	1	C4
RFX2	0.395573833	0.028547628	C2
HES5	0.395654392	9.40778E-05	C4
NR2C2(var.2)	0.396050521	1	Other expanded
OTX1	0.396752849	5.94337E-15	C1
FOSB::JUNB(var.2)	0.397014612	0.98694267	C4
NR1H4	0.397273239	8.25398E-09	Other expanded
ZNF528	0.397350327	0.000117479	Other expanded
ELK4	0.397852425	2.44142E-06	C2
HEY2	0.398228132	1	Other expanded
ARNT::HIF1A	0.398297716	1	C4
ELF5	0.3987086	1.015E-99	Other expanded
TBX1	0.3987095	0.206952588	C4
CLOCK	0.399298265	6.92288E-06	C2
HES6	0.400060351	4.15808E-11	C3
Atf1	0.400378135	1	Not expanded
SMAD3	0.400422375	1.08192E-23	Not expanded
DPRX	0.40049183	1.51874E-17	C1
ERF	0.401093914	1	C4
Arntl	0.401708773	2.79564E-05	C2
ZNF449	0.401801587	6.17075E-07	C2
ATF6	0.402362702	1.60514E-05	C3
ZNF410	0.404946084	7.9038E-06	Not expanded
MYC	0.406950186	0.039733129	C5
NFIA	0.408997946	3.56102E-12	C1
Dlx1	0.409256618	0.18466576	Other expanded
SPDEF	0.409413109	6.70964E-05	C2
NFATC3	0.409528605	2.23354E-13	C2
VDR	0.409588129	3.77889E-05	C3
ARNT2	0.409669675	5.97522E-08	C2
Prdm15	0.410785318	3.12724E-16	C1
GABPA	0.411947946	2.5282E-121	C3
SREBF1(var.2)	0.412499128	1.94877E-59	C1
Foxj3	0.41506097	5.76182E-20	Not expanded
HOXD12	0.415524851	1.66488E-07	Other expanded
CEBPG(var.2)	0.416602334	1.06527E-17	Other expanded
Mafb	0.416941135	1.17292E-15	C2
JUNB(var.2)	0.417311116	3.69467E-33	Other expanded
MEF2B	0.417367342	3.86321E-18	C3
GLIS1	0.417891236	9.39614E-09	Other expanded
RARB(var.3)	0.422059871	2.15865E-15	Not expanded
PROX1	0.422224765	1	C5
HOXA6	0.423503772	6.26413E-09	Not expanded
Gmeb1	0.423574578	0.0004261	Not expanded
Isl1	0.424045332	0.000110038	C2
TFAP2E	0.425088673	6.62438E-07	Not expanded
KLF17	0.425611295	9.43715E-09	Other expanded
JUND(var.2)	0.425626948	0.043440123	C5
E2F4	0.427278216	3.11344E-08	C1
LHX6	0.427913459	0.378404234	C3
CREB3L4	0.428466473	0.231589083	C5
NKX2-5	0.428881212	1.61103E-08	C3
ZNF136	0.429154197	0.004377231	C3
FOSL1::JUN(var.2)	0.429340223	2.04417E-28	Other expanded
BACH2(var.2)	0.430030402	4.28868E-24	C2
JUN::JUNB(var.2)	0.430080576	0.000110934	C4
GMEB2	0.431153882	1.11381E-07	Other expanded
ETS1	0.431215392	4.77686E-18	Not expanded
CREB3L4	0.431475171	5.19256E-17	Other expanded
ETV6	0.433644739	2.4041E-146	Other expanded
Arid3b	0.435117513	9.78523E-09	Not expanded
Klf1	0.435757621	6.67034E-62	Not expanded
FEV	0.435979942	2.35764E-24	Not expanded
MLX	0.436535858	4.77542E-42	C1
Hand1::Tcf3	0.436733864	7.57771E-11	Not expanded
VDR	0.437499676	9.70496E-05	Other expanded
Atf1	0.437555305	0.736727691	C5
ELF5	0.438794641	7.82163E-76	C3
ZNF528	0.438909232	1	C3
MAFG	0.439057219	2.27145E-06	Other expanded
HIF1A	0.441532926	2.00708E-08	Not expanded
